loaded model,test data,Mean phase error
0.2_15,0.2_30,0.006460423
0.2_15,0.2_45,0.016965941
0.2_15,0.25_15,0.006592637
0.2_15,0.25_30,0.006669670
0.2_15,0.25_45,0.020012939
0.2_15,0.3_15,0.011977739
0.2_15,0.3_30,0.009315764
0.2_15,0.3_45,0.023591980
0.2_15,0.35_15,0.018699834
0.2_15,0.35_30,0.013278760
0.2_15,0.35_45,0.051682748
0.2_30,0.2_15,0.005719027
0.2_30,0.2_45,0.004958006
0.2_30,0.25_15,0.008942825
0.2_30,0.25_30,0.006286059
0.2_30,0.25_45,0.006197115
0.2_30,0.3_15,0.014954760
0.2_30,0.3_30,0.010901280
0.2_30,0.3_45,0.009982023
0.2_30,0.35_15,0.022375271
0.2_30,0.35_30,0.016119298
0.2_30,0.35_45,0.015689110
0.2_45,0.2_15,0.008625949
0.2_45,0.2_30,0.004897036
0.2_45,0.25_15,0.008998188
0.2_45,0.25_30,0.007107381
0.2_45,0.25_45,0.006307489
0.2_45,0.3_15,0.012063468
0.2_45,0.3_30,0.010316649
0.2_45,0.3_45,0.009996499
0.2_45,0.35_15,0.015802038
0.2_45,0.35_30,0.011938624
0.2_45,0.35_45,0.011820799
0.25_15,0.2_15,0.006152909
0.25_15,0.2_30,0.007661686
0.25_15,0.2_45,0.010122757
0.25_15,0.25_30,0.005497694
0.25_15,0.25_45,0.008074283
0.25_15,0.3_15,0.005895747
0.25_15,0.3_30,0.006192237
0.25_15,0.3_45,0.007372631
0.25_15,0.35_15,0.008450853
0.25_15,0.35_30,0.008100971
0.25_15,0.35_45,0.010387167
0.25_30,0.2_15,0.007361975
0.25_30,0.2_30,0.005958386
0.25_30,0.2_45,0.006755594
0.25_30,0.25_15,0.006464406
0.25_30,0.25_45,0.005271164
0.25_30,0.3_15,0.011889422
0.25_30,0.3_30,0.006189661
0.25_30,0.3_45,0.007209491
0.25_30,0.35_15,0.019646170
0.25_30,0.35_30,0.009649258
0.25_30,0.35_45,0.013227679
0.25_45,0.2_15,0.008725065
0.25_45,0.2_30,0.006621319
0.25_45,0.2_45,0.007195587
0.25_45,0.25_15,0.007945486
0.25_45,0.25_30,0.004903701
0.25_45,0.3_15,0.011653555
0.25_45,0.3_30,0.007391298
0.25_45,0.3_45,0.005988296
0.25_45,0.35_15,0.020158702
0.25_45,0.35_30,0.010288219
0.25_45,0.35_45,0.009937718
0.3_15,0.2_15,0.011792333
0.3_15,0.2_30,0.012145330
0.3_15,0.2_45,0.033964015
0.3_15,0.25_15,0.005931179
0.3_15,0.25_30,0.007427445
0.3_15,0.25_45,0.028686127
0.3_15,0.3_30,0.005474399
0.3_15,0.3_45,0.025738183
0.3_15,0.35_15,0.005142198
0.3_15,0.35_30,0.015222888
0.3_15,0.35_45,0.046998821
0.3_30,0.2_15,0.013557317
0.3_30,0.2_30,0.009883096
0.3_30,0.2_45,0.011062196
0.3_30,0.25_15,0.009475666
0.3_30,0.25_30,0.005595262
0.3_30,0.25_45,0.007476694
0.3_30,0.3_15,0.008010983
0.3_30,0.3_45,0.005652970
0.3_30,0.35_15,0.008802418
0.3_30,0.35_30,0.005258785
0.3_30,0.35_45,0.011194225
0.3_45,0.2_15,0.023419394
0.3_45,0.2_30,0.012950028
0.3_45,0.2_45,0.009971143
0.3_45,0.25_15,0.016233159
0.3_45,0.25_30,0.007202784
0.3_45,0.25_45,0.005499724
0.3_45,0.3_15,0.012365113
0.3_45,0.3_30,0.005428436
0.3_45,0.35_15,0.013320434
0.3_45,0.35_30,0.005736675
0.3_45,0.35_45,0.007591893
0.35_15,0.2_15,0.014560692
0.35_15,0.2_30,0.015660477
0.35_15,0.2_45,0.022873059
0.35_15,0.25_15,0.008831056
0.35_15,0.25_30,0.010895412
0.35_15,0.25_45,0.017230166
0.35_15,0.3_15,0.004906880
0.35_15,0.3_30,0.008060985
0.35_15,0.3_45,0.012129635
0.35_15,0.35_30,0.008291023
0.35_15,0.35_45,0.028653369
0.35_30,0.2_15,0.020037199
0.35_30,0.2_30,0.014875049
0.35_30,0.2_45,0.013981986
0.35_30,0.25_15,0.012899870
0.35_30,0.25_30,0.009225910
0.35_30,0.25_45,0.008619971
0.35_30,0.3_15,0.009198779
0.35_30,0.3_30,0.005945648
0.35_30,0.3_45,0.005837291
0.35_30,0.35_15,0.007464013
0.35_30,0.35_45,0.006904087
0.35_45,0.2_15,0.023917938
0.35_45,0.2_30,0.015817917
0.35_45,0.2_45,0.014276943
0.35_45,0.25_15,0.018746824
0.35_45,0.25_30,0.011199660
0.35_45,0.25_45,0.008827009
0.35_45,0.3_15,0.016872785
0.35_45,0.3_30,0.009881005
0.35_45,0.3_45,0.006305711
0.35_45,0.35_15,0.016675783
0.35_45,0.35_30,0.007578796
